Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
mrdoob,three.js,7900,https://github.com/mrdoob/three.js,338,138,30600,3D
libgdx,libgdx,19600,https://github.com/libgdx/libgdx,164,61,6300,3D
pmndrs,react-three-fiber,16800,https://github.com/pmndrs/react-three-fiber,18,4,908,3D
BabylonJS,Babylon.js,15900,https://github.com/BabylonJS/Babylon.js,72,11,2700,3D
aframevr,aframe,13800,https://github.com/aframevr/aframe,310,39,3300,3D
ssloy,tinyrenderer,12100,https://github.com/ssloy/tinyrenderer,26,0,1200,3D
lettier,3d-game-shaders-for-beginners,12100,https://github.com/lettier/3d-game-shaders-for-beginners,13,0,907,3D
FreeCAD,FreeCAD,10700,https://github.com/FreeCAD/FreeCAD,734,67,2600,3D
metafizzy,zdog,900,https://github.com/metafizzy/zdog,38,6,350,3D
CesiumGS,cesium,8300,https://github.com/CesiumGS/cesium,1200,28,2700,3D
timzhang642,3D-Machine-Learning,7600,https://github.com/timzhang642/3D-Machine-Learning,16,2,1600,3D
a1studmuffin,SpaceshipGenerator,700,https://github.com/a1studmuffin/SpaceshipGenerator,5,5,387,3D
isl-org,Open3D,6100,https://github.com/isl-org/Open3D,326,26,1500,3D
domlysz,BlenderGIS,4800,https://github.com/domlysz/BlenderGIS,133,11,875,3D
spritejs,spritejs,4800,https://github.com/spritejs/spritejs,60,2,306,3D
blender,blender,4700,https://github.com/blender/blender,NA,0,836,3D
openscad,openscad,4600,https://github.com/openscad/openscad,628,86,965,3D
tensorspace-team,tensorspace,4600,https://github.com/tensorspace-team/tensorspace,22,0,404,3D
jagenjo,webglstudio.js,4600,https://github.com/jagenjo/webglstudio.js,32,1,520,3D
YadiraF,PRNet,4500,https://github.com/YadiraF/PRNet,155,5,912,3D
AaronJackson,vrn,4400,https://github.com/AaronJackson/vrn,5,0,745,3D
ssloy,tinyraytracer,400,https://github.com/ssloy/tinyraytracer,9,1,246,3D
google,model-viewer,400,https://github.com/google/model-viewer,98,9,472,3D
mosra,magnum,3800,https://github.com/mosra/magnum,56,24,378,3D
gfxfundamentals,webgl-fundamentals,3400,https://github.com/gfxfundamentals/webgl-fundamentals,29,5,514,3D
FyroxEngine,Fyrox,3400,https://github.com/FyroxEngine/Fyrox,53,4,138,3D
cleardusk,3DDFA,3200,https://github.com/cleardusk/3DDFA,49,1,617,3D
tengbao,vanta,3200,https://github.com/tengbao/vanta,32,13,940,3D
jasonlong,isometric-contributions,3100,https://github.com/jasonlong/isometric-contributions,0,0,160,3D
cnr-isti-vclab,meshlab,2700,https://github.com/cnr-isti-vclab/meshlab,102,2,605,3D
metafizzy,infinite-scroll,700,https://github.com/metafizzy/infinite-scroll,37,0,1800,Ajax
ljianshu,Blog,6900,https://github.com/ljianshu/Blog,65,17,1100,Ajax
developit,unfetch,5300,https://github.com/developit/unfetch,16,13,209,Ajax
jquery-form,form,5100,https://github.com/jquery-form/form,17,4,2200,Ajax
olifolkerd,tabulator,4400,https://github.com/olifolkerd/tabulator,93,9,606,Ajax
Studio-42,elFinder,4200,https://github.com/Studio-42/elFinder,42,3,1400,Ajax
ded,reqwest,2900,https://github.com/ded/reqwest,83,24,354,Ajax
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,9,1,836,Ajax
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss,26,6,110,Ajax
elbywan,wretch,2300,https://github.com/elbywan/wretch,5,0,62,Ajax
noelboss,featherlight,200,https://github.com/noelboss/featherlight,79,15,310,Ajax
wendux,Ajax-hook,200,https://github.com/wendux/Ajax-hook,39,4,408,Ajax
yisainan,web-interview,1900,https://github.com/yisainan/web-interview,1100,0,443,Ajax
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm,174,3,517,Ajax
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente,36,5,184,Ajax
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise,32,2,43,Ajax
nette,tracy,1500,https://github.com/nette/tracy,27,14,203,Ajax
u014427391,jeeplatform,1300,https://github.com/u014427391/jeeplatform,5,6,575,Ajax
loadingio,css-spinner,1300,https://github.com/loadingio/css-spinner,1,2,194,Ajax
MoOx,pjax,1200,https://github.com/MoOx/pjax,34,10,126,Ajax
codingforentrepreneurs,eCommerce,1200,https://github.com/codingforentrepreneurs/eCommerce,18,2,749,Ajax
danielm,uploader,1100,https://github.com/danielm/uploader,45,6,394,Ajax
renderedtext,render_async,100,https://github.com/renderedtext/render_async,9,0,75,Ajax
swlib,saber,942,https://github.com/swlib/saber,20,0,118,Ajax
proyecto26,RestClient,864,https://github.com/proyecto26/RestClient,14,1,129,Ajax
webcreate,infinite-ajax-scroll,843,https://github.com/webcreate/infinite-ajax-scroll,5,1,352,Ajax
opensource-socialnetwork,opensource-socialnetwork,842,https://github.com/opensource-socialnetwork/opensource-socialnetwork,14,1,452,Ajax
k8w,tsrpc,820,https://github.com/k8w/tsrpc,1,0,113,Ajax
rapidjs,rapid.js,709,https://github.com/rapidjs/rapid.js,10,3,39,Ajax
csxiaoyaojianxian,JavaScriptStudy,595,https://github.com/csxiaoyaojianxian/JavaScriptStudy,0,47,188,Ajax
jwasham,coding-interview-university,20900,https://github.com/jwasham/coding-interview-university,35,8,56500,Algorithm
CyC2018,CS-Notes,14600,https://github.com/CyC2018/CS-Notes,99,49,46600,Algorithm
